Exp_ID	Plate_ID	Date	Plate_Row	Plate_Col	Well_No	Well_ID	hours_0	hours_6	hours_12	hours_18	hours_24	hours_30	hours_36	hours_42	hours_48	hours_54	hours_60	hours_66	hours_72	hours_78	hours_84	hours_90	hours_96	hours_102	hours_108	hours_114	hours_120	hours_126	hours_132	hours_138
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	C	5	67	C05	0.96519860000000002	1.871062	2.6031279999999999	2.8483459999999998	3.5896020000000002	4.1645240000000001	4.4737799999999996	5.1033379999999999	6.245584	5.7123189999999999	5.4691640000000001	4.8668930000000001	4.5177139999999998	3.9583330000000001	4.0071700000000003	3.9019659999999998	3.5849769999999999	3.4515889999999998	3.4471669999999999	3.4831560000000001	3.4149090000000002	3.2668810000000001	3.3184100000000001	3.2969949999999999
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	D	5	68	D05	0.38869049999999999	2.1510280000000002	2.5786739999999999	3.2471230000000002	4.0447480000000002	4.5768420000000001	5.4114909999999998	6.4245549999999998	7.6302830000000004	11.60408	12.445919999999999	13.808920000000001	14.783530000000001	15.784649999999999	15.31963	14.747820000000001	14.25062	14.418609999999999	14.15286	13.93521	13.313800000000001	13.71922	12.79898	12.69107
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	E	5	69	E05	0.2034289	2.3542450000000001	3.1846019999999999	3.34728	4.031555	5.1872680000000004	6.0793889999999999	7.0427879999999998	7.7383160000000002	15.59022	18.507719999999999	21.938639999999999	25.698530000000002	29.857510000000001	35.915990000000001	43.543300000000002	52.25414	62.241280000000003	73.795360000000002	83.410179999999997	90.479780000000005	95.734340000000003	97.170370000000005	99.037210000000002
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	F	5	70	F05	0.2933656	2.770362	3.114843	3.3677999999999999	4.2740770000000001	5.0384770000000003	5.7333129999999999	6.9513350000000003	8.0734689999999993	15.02487	20.13486	24.082979999999999	30.732510000000001	36.997549999999997	45.757440000000003	53.31926	67.026060000000001	75.946439999999996	85.306430000000006	93.132320000000007	97.445920000000001	98.795450000000002	99.595349999999996	99.905850000000001
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	G	5	71	G05	1.216912	3.6078399999999999	4.4276359999999997	5.4211619999999998	6.7530169999999998	8.2154939999999996	9.8925260000000002	11.7202	13.786759999999999	11.626670000000001	15.21698	18.3154	24.27008	29.755980000000001	37.905349999999999	46.426360000000003	56.693080000000002	70.270669999999996	82.871790000000004	90.803979999999996	95.999250000000004	97.871009999999998	98.845249999999993	98.880549999999999
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	H	5	72	H05	0.61836820000000003	2.5149870000000001	3.1845400000000001	3.6436899999999999	4.2914899999999996	5.2810730000000001	6.4367179999999999	8.9993730000000003	10.32605	14.522080000000001	17.838339999999999	21.972770000000001	28.20101	35.659509999999997	44.617139999999999	53.479439999999997	67.336399999999998	80.806759999999997	91.037180000000006	95.682820000000007	98.375879999999995	99.40034	99.489720000000005	99.711269999999999
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	I	5	73	I05	1.486308	2.6688879999999999	3.189378	3.7066180000000002	5.0378590000000001	5.6515969999999998	6.7786410000000004	9.1962309999999992	11.73733	19.537980000000001	16.583290000000002	16.954999999999998	14.406499999999999	11.23785	9.2765079999999998	8.2410639999999997	7.943689	7.5160359999999997	7.2353839999999998	7.0657990000000002	7.076295	6.9621139999999997	6.7271850000000004	6.7863790000000002
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	J	5	74	J05	0.77938399999999997	2.7833459999999999	3.6614429999999998	4.3495809999999997	5.5883940000000001	6.7537760000000002	9.5811960000000003	13.07521	16.537089999999999	22.393149999999999	24.84225	28.522010000000002	31.933900000000001	33.836930000000002	36.774769999999997	41.565600000000003	42.310380000000002	44.204790000000003	44.565240000000003	47.675809999999998	45.505670000000002	46.639490000000002	44.525579999999998	44.0991
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	K	5	75	K05	0.74457039999999997	2.5216859999999999	3.355572	3.5625230000000001	4.6683000000000003	5.9099440000000003	7.7432930000000004	10.26774	13.216049999999999	16.766559999999998	22.010010000000001	28.379919999999998	33.89376	42.61947	49.75076	57.151600000000002	67.355379999999997	76.264610000000005	84.985500000000002	91.533779999999993	96.056399999999996	98.434129999999996	99.12764	99.639340000000004
20201130_AL	20201130_AL_01	2020-11-25T20:00:00Z	L	5	76	L05	1.714604	3.201327	3.9734600000000002	4.8588779999999998	6.2752869999999996	7.6737279999999997	10.41107	13.470459999999999	18.128969999999999	16.78445	22.952059999999999	30.162710000000001	38.352490000000003	47.140610000000002	56.29721	67.261960000000002	77.170919999999995	87.88	93.175139999999999	96.813659999999999	98.32311	99.406769999999995	99.539739999999995	99.831519999999998
