Cell ID	Plate ID	Well Y	Well X	MEASUREMENT SET ID	Total Cells (MultiWaveScoring)	% Positive W2 (MultiWaveScoring)	% Positive W3 (MultiWaveScoring)	Scan_ID	Well_ID
10298_90834_90834_0	10298	4	22	20181	3053	46.675400000000003	68.129706999999897	10298	D22
10298_90833_90833_0	10298	5	22	20181	3808	34.873950999999899	82.983192000000003	10298	E22
10298_90832_90832_0	10298	6	22	20181	3746	36.225307000000001	85.985054000000005	10298	F22
10298_90831_90831_0	10298	7	22	20181	3422	21.8585619999999	72.501464999999897	10298	G22
10298_90830_90830_0	10298	8	22	20181	3746	38.841431	86.572342000000006	10298	H22
10298_90829_90829_0	10298	9	22	20181	3251	93.325134000000006	85.389114000000006	10298	I22
10298_90828_90828_0	10298	10	22	20181	3130	85.175719999999899	84.600639000000001	10298	J22
10298_90827_90827_0	10298	11	22	20181	3930	78.193382	95.139945999999895	10298	K22
10298_90826_90826_0	10298	12	22	20181	3417	56.423763000000001	90.254608000000005	10298	L22
10298_90825_90825_0	10298	13	22	20181	3847	64.309853000000004	93.709380999999894	10298	M22
10298_90824_90824_0	10298	14	22	20181	3460	52.8901749999999	88.988440999999895	10298	N22
10313_93194_93194_0	10313	3	13	20191	9	88.888885000000002	100	10313	C13
10313_93195_93195_0	10313	4	13	20191	32	87.5	100	10313	D13
10313_93196_93196_0	10313	5	13	20191	2019	34.026744999999899	98.266471999999894	10313	E13
10313_93197_93197_0	10313	6	13	20191	893	9.2945130000000002	98.432250999999894	10313	F13
10313_93198_93198_0	10313	7	13	20191	1871	19.615179000000001	97.808655000000002	10313	G13
10313_93199_93199_0	10313	8	13	20191	1139	21.4223	97.278312999999898	10313	H13
10313_93200_93200_0	10313	9	13	20191	45	68.888885000000002	100	10313	I13
10313_93201_93201_0	10313	10	13	20191	79	72.151900999999896	100	10313	J13
10313_93202_93202_0	10313	11	13	20191	670	58.358207999999898	99.701492000000002	10313	K13
10313_93203_93203_0	10313	12	13	20191	466	45.708153000000003	99.785408000000004	10313	L13
10313_93204_93204_0	10313	13	13	20191	1929	17.003630000000001	98.652152999999899	10313	M13
10313_93205_93205_0	10313	14	13	20191	1283	25.954794	98.207329000000001	10313	N13
10313_93217_93217_0	10313	3	14	20191	7	100	100	10313	C14
10313_93216_93216_0	10313	4	14	20191	52	86.538460000000001	100	10313	D14
10313_93215_93215_0	10313	5	14	20191	1607	40.385810999999897	99.004356000000001	10313	E14
10313_93214_93214_0	10313	6	14	20191	1326	18.552036000000001	98.944191000000004	10313	F14
10313_93213_93213_0	10313	7	14	20191	1066	23.358349	98.123824999999897	10313	G14
10313_93212_93212_0	10313	8	14	20191	1927	26.569797999999899	99.065903000000006	10313	H14
10313_93211_93211_0	10313	9	14	20191	45	33.333331999999899	100	10313	I14
10313_93210_93210_0	10313	10	14	20191	346	39.884391999999899	99.132949999999894	10313	J14
10313_93209_93209_0	10313	11	14	20191	258	45.736435	98.062011999999896	10313	K14
10313_93208_93208_0	10313	12	14	20191	880	38.295456000000001	99.659087999999898	10313	L14
10313_93207_93207_0	10313	13	14	20191	1209	24.152190999999899	98.842017999999896	10313	M14
10313_93206_93206_0	10313	14	14	20191	1891	28.6620829999999	98.942359999999894	10313	N14
10313_93218_93218_0	10313	3	15	20191	217	26.728110999999899	97.695853999999898	10313	C15
10313_93219_93219_0	10313	4	15	20191	504	22.420635000000001	97.222221000000005	10313	D15
10313_93220_93220_0	10313	5	15	20191	613	37.683525000000003	99.021209999999897	10313	E15
10313_93221_93221_0	10313	6	15	20191	523	40.917782000000003	99.617592000000002	10313	F15
10313_93222_93222_0	10313	7	15	20191	1837	30.865541	99.727813999999896	10313	G15
10313_93223_93223_0	10313	8	15	20191	1526	23.132372	99.017036000000004	10313	H15
10313_93224_93224_0	10313	9	15	20191	53	60.377357000000003	98.113204999999894	10313	I15
10313_93225_93225_0	10313	10	15	20191	254	53.937007999999899	98.818900999999897	10313	J15
10313_93226_93226_0	10313	11	15	20191	647	37.094279999999898	100	10313	K15
10313_93227_93227_0	10313	12	15	20191	27	55.555557	100	10313	L15
10313_93228_93228_0	10313	13	15	20191	1883	27.137547000000001	99.681358000000003	10313	M15
