Exp_ID	Plate_ID	Date	Plate_Row	Plate_Col	Well_No	Well_ID	Calculated.results..Calc.1..Crosstalk...Crosstalk.correction.where.Label...Glo.US.LUM.384..cps..1..channel.1	Results.for.Glo.US.LUM.384..cps..1....channel.0..CPS.	NA.
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	10	150	F10	720	720	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	10	151	G10	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	10	152	H10	640	640	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	10	153	I10	1200	1200	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	10	154	J10	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	10	155	K10	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	L	10	156	L10	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	M	10	157	M10	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	N	10	158	N10	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	O	10	159	O10	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	P	10	160	P10	720	720	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	A	11	161	A11	720	720	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	11	162	B11	1000	1000	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	11	163	C11	1400	1400	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	11	164	D11	680	680	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	11	165	E11	920	920	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	11	166	F11	800	800	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	11	167	G11	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	11	168	H11	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	11	169	I11	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	11	170	J11	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	11	171	K11	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	L	11	172	L11	760	760	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	M	11	173	M11	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	N	11	174	N11	360	360	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	O	11	175	O11	400	400	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	P	11	176	P11	400	400	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	A	12	177	A12	880	880	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	12	178	B12	440	440	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	12	179	C12	1400	1400	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	12	180	D12	920	920	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	12	181	E12	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	12	182	F12	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	12	183	G12	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	12	184	H12	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	12	185	I12	920	920	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	12	186	J12	720	720	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	12	187	K12	400	400	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	L	12	188	L12	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	M	12	189	M12	1080	1080	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	N	12	190	N12	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	O	12	191	O12	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	P	12	192	P12	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	A	13	193	A13	720	720	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	13	194	B13	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	13	195	C13	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	13	196	D13	640	640	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	13	197	E13	1280	1280	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	13	198	F13	2000	2000	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	13	199	G13	800	800	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	13	200	H13	720	720	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	13	201	I13	720	720	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	13	202	J13	720	720	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	13	203	K13	2400	2400	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	L	13	204	L13	1840	1840	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	M	13	205	M13	1320	1320	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	N	13	206	N13	1760	1760	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	O	13	207	O13	2360	2360	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	P	13	208	P13	760	760	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	A	14	209	A14	680	680	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	14	210	B14	640	640	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	14	211	C14	400	400	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	14	212	D14	680	680	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	14	213	E14	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	14	214	F14	1800	1800	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	14	215	G14	880	880	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	14	216	H14	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	14	217	I14	800	800	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	14	218	J14	1200	1200	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	14	219	K14	1840	1840	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	L	14	220	L14	3320	3320	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	M	14	221	M14	1840	1840	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	N	14	222	N14	1840	1840	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	O	14	223	O14	1880	1880	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	P	14	224	P14	4840	4840	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	A	15	225	A15	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	15	226	B15	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	15	227	C15	400	400	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	15	228	D15	720	720	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	15	229	E15	1240	1240	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	15	230	F15	800	800	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	15	231	G15	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	15	232	H15	680	680	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	15	233	I15	440	440	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	15	234	J15	960	960	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	15	235	K15	8080	8080	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	L	15	236	L15	5960	5960	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	M	15	237	M15	1480	1480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	N	15	238	N15	1800	1800	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	O	15	239	O15	2400	2400	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	P	15	240	P15	2720	2720	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	A	16	241	A16	840	840	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	16	242	B16	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	16	243	C16	440	440	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	16	244	D16	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	16	245	E16	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	16	246	F16	520	520	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	16	247	G16	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	16	248	H16	440	440	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	16	249	I16	280	280	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	16	250	J16	880	880	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	16	251	K16	3400	3400	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	L	16	252	L16	3360	3360	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	M	16	253	M16	3160	3160	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	N	16	254	N16	4040	4040	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	O	16	255	O16	1800	1800	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	P	16	256	P16	2040	2040	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	A	17	257	A17	760	760	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	B	17	258	B17	800	800	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	C	17	259	C17	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	D	17	260	D17	560	560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	E	17	261	E17	440	440	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	F	17	262	F17	600	600	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	G	17	263	G17	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	H	17	264	H17	480	480	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	I	17	265	I17	800	800	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	J	17	266	J17	1000	1000	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	K	17	267	K17	3080	3080	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	L	17	268	L17	1560	1560	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	M	17	269	M17	1080	1080	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	N	17	270	N17	1160	1160	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	O	17	271	O17	4000	4000	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	P	17	272	P17	2240	2240	-
20201130_AL	20201130_AL_01	2020-11-30T14:15:00Z	A	18	273	A18	760	760	-
