Plate ID	Well Name	MEASUREMENT SET ID	Cell: W2 Nucleus Average Intensity (MultiWaveScoring)	Cell: W2 Cytoplasm Average Intensity (MultiWaveScoring)	Cell: W2 Cell Average Intensity (MultiWaveScoring)	% Positive W2 (MultiWaveScoring)	Cell: W3 Nucleus Average Intensity (MultiWaveScoring)	Cell: W3 Cytoplasm Average Intensity (MultiWaveScoring)	Cell: W3 Cell Average Intensity (MultiWaveScoring)	% Positive W3 (MultiWaveScoring)	Total Cells (MultiWaveScoring)	Cell.line	Timepoint
10369	C14	20278	1394.236622	1619.970306	1248.842986	97.680954	1394.236622	1619.970306	1491.118106	5.903022	1423	CFPAC1	Day01
10369	C15	20278	1130.474898	1460.06929	1409.567165	93.756561	1130.474898	1460.06929	1248.842986	3.410283	1906	CFPAC1	Day01
10369	C16	20278	1296.754295	1580.855733	1385.401727	97.210602	1296.754295	1580.855733	1409.567165	8.089261	717	CFPAC1	Day01
10369	C17	20278	1274.254897	1532.730007	6949.554688	95.540794	1274.254897	1532.730007	1385.401727	5.313093	1054	CFPAC1	Day01
10369	C18	20278	6884.34367	7157.467909	7292.168513	99.890106	6884.34367	7157.467909	6949.554688	99.12088	910	CFPAC1	Day01
10369	C19	20278	7139.121349	7567.290029	7159.755132	99.716911	7139.121349	7567.290029	7292.168513	98.655342	1413	CFPAC1	Day01
10369	C20	20278	7029.101249	7422.110935	8959.522014	100	7029.101249	7422.110935	7159.755132	98.513512	740	CFPAC1	Day01
10369	C21	20278	8614.405588	9406.988495	7550.320432	99.923019	8614.405588	9406.988495	8959.522014	99.69207	1299	CFPAC1	Day01
10369	C22	20278	7826.255458	7576.158312	1674.736937	99.902916	7826.255458	7576.158312	7550.320432	99.029129	1030	CFPAC1	Day01
10369	D13	20278	1535.363633	1833.339061	1557.311993	98.252823	1535.363633	1833.339061	1674.736937	21.479959	973	CFPAC1	Day01
10369	D14	20278	1429.532468	1708.256036	1718.853683	98.07209	1429.532468	1708.256036	1557.311993	15.842414	1193	CFPAC1	Day01
10369	D15	20278	1597.006317	1856.697549	1701.280606	97.444633	1597.006317	1856.697549	1718.853683	12.095401	1174	CFPAC1	Day01
10369	D16	20278	1569.541667	1857.630285	1538.800641	97.959183	1569.541667	1857.630285	1701.280606	16.530613	980	CFPAC1	Day01
10369	D17	20278	1543.43521	1426.486191	7846.890287	80.845261	1543.43521	1426.486191	1538.800641	1.499659	1467	CFPAC1	Day01
10369	D18	20278	8584.519024	7528.786067	7741.23129	100	8584.519024	7528.786067	7846.890287	91.537376	709	CFPAC1	Day01
10369	D19	20278	7080.314941	8302.543552	8400.626498	99.921196	7080.314941	8302.543552	7741.23129	98.975571	1269	CFPAC1	Day01
10369	D20	20278	7777.930056	9070.548933	8624.099636	99.885193	7777.930056	9070.548933	8400.626498	99.196327	871	CFPAC1	Day01
10369	D21	20278	9428.3073	8272.590041	8582.991537	99.723244	9428.3073	8272.590041	8624.099636	94.280441	1084	CFPAC1	Day01
10369	D22	20278	8102.410011	9129.857704	1065.866852	99.913567	8102.410011	9129.857704	8582.991537	99.481415	1157	CFPAC1	Day01
10369	E13	20278	1053.325951	889.3221014	1023.267311	60.280373	1053.325951	889.3221014	1065.866852	0.623053	1284	CFPAC1	Day01
10369	E14	20278	964.2737688	1149.206977	1241.197023	76.855469	964.2737688	1149.206977	1023.267311	2.050781	1024	CFPAC1	Day01
10369	E15	20278	1163.777213	1368.843576	1443.271836	87.378639	1163.777213	1368.843576	1241.197023	3.519418	824	CFPAC1	Day01
10369	E16	20278	1316.225158	1623.204514	1342.513054	96.738197	1316.225158	1623.204514	1443.271836	10.214592	1165	CFPAC1	Day01
10369	E17	20278	1217.551463	1596.588542	7225.982587	92.34568	1217.551463	1596.588542	1342.513054	2.901235	1620	CFPAC1	Day01
